;instrukcja, kod, ilo˜† parametrow, param1, param2, param3, czy mozna zaufac?
push,	c0h,	1,	tpRamAddr,	tpNieznany,	tpNieznany,	n

ret,	22h,	0,	tpNieznany,	tpNieznany,	tpNieznany,	n
reti,	32h,	0,	tpNieznany,	tpNieznany,	tpNieznany,	n

rl,	23h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
rlc,	33h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
rr,	03h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
rrc,	13h,	1,	tpACC,		tpNieznany,	tpNieznany,	n

setb,	d3h,	1,	tpC,		tpNieznany,	tpNieznany,	n
setb,	d2h,	1,	tpBit,		tpNieznany,	tpNieznany,	n

sjmp,	80h,	1,	tpCode8,	tpNieznany,	tpNieznany,	t

subb,	98h,	2, 	tpACC,		tpRn,		tpNieznany,	n
subb,	95h,	2,	tpACC,		tpRAMAddr,	tpNieznany,	n
subb,	96h,	2,	tpACC,		tpRi,		tpNieznany,	n
subb,	94h,	2,	tpACC,		tpData8,	tpNieznany,	n

swap,	c4h,	1,	tpACC,		tpNieznany,	tpNieznany,	n

xch,	c8h,	2, 	tpACC,		tpRn,		tpNieznany,	n
xch,	c5h,	2,	tpACC,		tpRAMAddr,	tpNieznany,	n
xch,	c6h,	2,	tpACC,		tpRi,		tpNieznany,	n

xchd,	d6h,	2,	tpACC,		tpRi,           tpNieznany,	n

xrl,	68h,	2, 	tpACC,		tpRn,		tpNieznany,	n
xrl,	65h,	2,	tpACC,		tpRAMAddr,	tpNieznany,	n
xrl,	66h,	2,	tpACC,		tpRi,		tpNieznany,	n
xrl,	64h,	2,	tpACC,		tpData8,	tpNieznany,	n
xrl,	62h,	2,	tpRAMAddr,	tpACC,		tpNieznany,	n
xrl,	63h,	2,	tpRAMAddr,	tpData8,	tpNieznany,	n
